algorithm,params,cluster_count,noise_ratio,min_cluster_size,sample_count,valid,silhouette_score,davies_bouldin_index,calinski_harabasz_score,objective_score
KMeans,"{""pca_components"": 2, ""n_clusters"": 6, ""n_init"": 25}",6,0.0,259,2240,True,0.37756763064808446,0.8818303159773255,3147.5874623774175,0.4097442194642867
GaussianMixture,"{""pca_components"": 2, ""n_components"": 6, ""covariance_type"": ""full""}",6,0.0,186,2240,True,0.37664678546678104,0.9043792874811972,2871.794368692269,0.40481472425938225
GaussianMixture,"{""pca_components"": 2, ""n_components"": 6, ""covariance_type"": ""tied""}",6,0.0,199,2240,True,0.38687269756244125,0.8385307994917192,2975.702919118295,0.41720242345114134
GaussianMixture,"{""pca_components"": 2, ""n_components"": 6, ""covariance_type"": ""diag""}",6,0.0,196,2240,True,0.3846160836249119,0.8590211403778744,3032.223274841036,0.41480206152913685
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 6, ""linkage"": ""ward""}",6,0.0,93,2240,True,0.3405760089636031,0.9277385808165258,2613.622601760318,0.37719626582348015
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 6, ""linkage"": ""complete""}",6,0.0,3,2240,True,0.2980547684460523,0.9200751675077433,1720.4199792272655,0.2411430351922361
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 6, ""linkage"": ""average""}",6,0.0,1,2240,True,0.42758589141037867,0.5431363530225125,1473.2709809881246,0.35467125779947384
KMeans,"{""pca_components"": 2, ""n_clusters"": 7, ""n_init"": 10}",7,0.0,225,2240,True,0.35180957407743124,0.9057470624559434,2960.154125302326,0.38945991597273555
KMeans,"{""pca_components"": 2, ""n_clusters"": 7, ""n_init"": 25}",7,0.0,214,2240,True,0.36298450625079365,0.8849220526602218,2978.4403384467782,0.3983558116363291
GaussianMixture,"{""pca_components"": 2, ""n_components"": 7, ""covariance_type"": ""full""}",7,0.0,137,2240,True,0.32397101201217066,1.061090327243755,2457.7952881724823,0.35645413434554646
GaussianMixture,"{""pca_components"": 2, ""n_components"": 7, ""covariance_type"": ""tied""}",7,0.0,170,2240,True,0.33584205911497744,0.9137100189057158,2781.0572461939087,0.37674421290225
GaussianMixture,"{""pca_components"": 2, ""n_components"": 7, ""covariance_type"": ""diag""}",7,0.0,148,2240,True,0.33191650550992374,0.9517407437222699,2694.8687383582724,0.37078519892589484
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 7, ""linkage"": ""ward""}",7,0.0,90,2240,True,0.3119879316572793,0.915084113078571,2466.3357004693607,0.3579980815963563
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 7, ""linkage"": ""complete""}",7,0.0,3,2240,True,0.22976564238189617,1.0358577453694469,1796.6242365497135,0.19011227368380365
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 7, ""linkage"": ""average""}",7,0.0,1,2240,True,0.407588610615907,0.6146555903075993,1237.8768009044743,0.33214314544555046
KMeans,"{""pca_components"": 2, ""n_clusters"": 8, ""n_init"": 10}",8,0.0,178,2240,True,0.3509233542772896,0.8780169673865141,2895.2931937334224,0.39017225029857977
KMeans,"{""pca_components"": 2, ""n_clusters"": 8, ""n_init"": 25}",8,0.0,178,2240,True,0.3509233542772896,0.8780169673865141,2895.2931937334224,0.39017225029857977
GaussianMixture,"{""pca_components"": 2, ""n_components"": 8, ""covariance_type"": ""full""}",8,0.0,93,2240,True,0.3070281899936909,0.9644986504093509,2513.418207866117,0.35196143748978787
GaussianMixture,"{""pca_components"": 2, ""n_components"": 8, ""covariance_type"": ""tied""}",8,0.0,150,2240,True,0.3154603280752874,0.9454044224271068,2685.5455096326377,0.36041265214438367
GaussianMixture,"{""pca_components"": 2, ""n_components"": 8, ""covariance_type"": ""diag""}",8,0.0,124,2240,True,0.30662714230900484,0.9402173240290207,2566.4679485676156,0.3538238670705895
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 8, ""linkage"": ""ward""}",8,0.0,90,2240,True,0.3173771328822026,0.9107242454156386,2420.0184278852157,0.36133576013475754
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 8, ""linkage"": ""complete""}",8,0.0,3,2240,True,0.23311378794645757,1.0020636239907357,1762.9781579644564,0.19402490018774873
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 8, ""linkage"": ""average""}",8,0.0,1,2240,True,0.3320993507681499,0.5986903347731776,1062.98137714118,0.2828723935401827
KMeans,"{""pca_components"": 2, ""n_clusters"": 9, ""n_init"": 10}",9,0.0,132,2240,True,0.33984191799968216,0.9011900211976676,2834.138244804269,0.38073521666017257
KMeans,"{""pca_components"": 2, ""n_clusters"": 9, ""n_init"": 25}",9,0.0,132,2240,True,0.33984191799968216,0.9011900211976676,2834.138244804269,0.38073521666017257
GaussianMixture,"{""pca_components"": 2, ""n_components"": 9, ""covariance_type"": ""full""}",9,0.0,121,2240,True,0.3229543075183628,0.9444751341544831,2463.551265559599,0.3631252118672023
GaussianMixture,"{""pca_components"": 2, ""n_components"": 9, ""covariance_type"": ""tied""}",9,0.0,87,2240,True,0.3247003649368378,0.8994730446055255,2622.6431496255686,0.3688971189533605
GaussianMixture,"{""pca_components"": 2, ""n_components"": 9, ""covariance_type"": ""diag""}",9,0.0,124,2240,True,0.32340621000311415,0.9261145239529005,2496.198659332434,0.3649710051127902
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 9, ""linkage"": ""ward""}",9,0.0,90,2240,True,0.30925942018986247,0.9670101777361926,2454.1394206891973,0.3526564618884705
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 9, ""linkage"": ""complete""}",9,0.0,3,2240,True,0.22485946205508855,0.9648744877089883,1700.1560563689989,0.19039480097832542
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 9, ""linkage"": ""average""}",9,0.0,1,2240,True,0.32341308367414173,0.6272519732745391,1117.212666919209,0.27502387538949713
KMeans,"{""pca_components"": 2, ""n_clusters"": 10, ""n_init"": 10}",10,0.0,136,2240,True,0.34086886086571255,0.8533075558536591,2777.2915296722153,0.3842316373916533
KMeans,"{""pca_components"": 2, ""n_clusters"": 10, ""n_init"": 25}",10,0.0,136,2240,True,0.34086886086571255,0.8533075558536591,2777.2915296722153,0.3842316373916533
GaussianMixture,"{""pca_components"": 2, ""n_components"": 10, ""covariance_type"": ""full""}",10,0.0,70,2240,True,0.3164942648683935,0.9393277933391204,2430.251675780588,0.3589344356209055
GaussianMixture,"{""pca_components"": 2, ""n_components"": 10, ""covariance_type"": ""tied""}",10,0.0,91,2240,True,0.3294973115382555,0.8561900403646977,2612.0112921101845,0.37497785061025435
GaussianMixture,"{""pca_components"": 2, ""n_components"": 10, ""covariance_type"": ""diag""}",10,0.0,107,2240,True,0.33269134710420456,0.8875581827454067,2587.987301615032,0.3745754970649548
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 10, ""linkage"": ""ward""}",10,0.0,90,2240,True,0.28277246836769426,0.9788513721321941,2383.442287615649,0.3339724429481885
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 10, ""linkage"": ""complete""}",10,0.0,3,2240,True,0.23773283615422056,0.9869358739081766,1808.4283890300305,0.19843250381993535
AgglomerativeClustering,"{""pca_components"": 2, ""n_clusters"": 10, ""linkage"": ""average""}",10,0.0,1,2240,True,0.3075141706650995,0.6732908990801766,1201.774339627047,0.26130813357537797
DBSCAN,"{""pca_components"": 2, ""eps"": 0.25, ""min_samples"": 5}",9,0.06874999999999998,5,2240,True,-0.5136238568571223,1.4810918608637982,9.327817476610997,-0.35018763933962826
DBSCAN,"{""pca_components"": 2, ""eps"": 0.25, ""min_samples"": 10}",10,0.18571428571428572,4,2240,True,-0.01286111746703937,0.7821551393023769,625.2416165160377,-0.00825628727265687
DBSCAN,"{""pca_components"": 2, ""eps"": 0.25, ""min_samples"": 20}",8,0.5415178571428572,21,2240,True,0.28392867872959543,0.7447355968011109,2579.9392344478683,0.11826175596935454
DBSCAN,"{""pca_components"": 2, ""eps"": 0.35, ""min_samples"": 5}",4,0.02857142857142858,4,2240,True,-0.24888976167335156,1.2214262763405082,5.204651182254503,-0.15632884652067827
DBSCAN,"{""pca_components"": 2, ""eps"": 0.35, ""min_samples"": 10}",1,0.06874999999999998,2086,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 0.35, ""min_samples"": 20}",3,0.20803571428571432,20,2240,True,0.31110807411972924,0.7966887294945039,2403.708596389116,0.21339326460791033
DBSCAN,"{""pca_components"": 2, ""eps"": 0.5, ""min_samples"": 5}",1,0.010714285714285676,2216,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 0.5, ""min_samples"": 10}",1,0.021428571428571463,2192,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 0.5, ""min_samples"": 20}",1,0.05312499999999998,2121,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 0.75, ""min_samples"": 5}",1,0.006696428571428603,2225,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 0.75, ""min_samples"": 10}",1,0.008482142857142883,2221,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 0.75, ""min_samples"": 20}",1,0.011160714285714302,2215,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.0, ""min_samples"": 5}",1,0.0035714285714285587,2232,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.0, ""min_samples"": 10}",1,0.004464285714285698,2230,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.0, ""min_samples"": 20}",1,0.006696428571428603,2225,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.25, ""min_samples"": 5}",1,0.0022321428571429047,2235,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.25, ""min_samples"": 10}",1,0.002678571428571419,2234,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.25, ""min_samples"": 20}",1,0.0031250000000000444,2233,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.5, ""min_samples"": 5}",1,0.001339285714285765,2237,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.5, ""min_samples"": 10}",1,0.001339285714285765,2237,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 1.5, ""min_samples"": 20}",1,0.0017857142857142794,2236,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 2.0, ""min_samples"": 5}",1,0.001339285714285765,2237,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 2.0, ""min_samples"": 10}",1,0.001339285714285765,2237,2240,False,,,,
DBSCAN,"{""pca_components"": 2, ""eps"": 2.0, ""min_samples"": 20}",1,0.001339285714285765,2237,2240,False,,,,
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 10, ""min_samples"": null}",5,0.2767857142857143,10,2240,True,0.36190859067186065,0.5232091089450507,1191.5039953165208,0.24208636507594958
